Type,Company Name,Sector,Company Description,Website,Internship description and details:,Requirements:,How to apply and deadlines:,SUMMER INTERNSHIP?,Description and details:,Requirements:,How to apply and deadlines:,DIRECT ENTRY OPPORTUNITIES?,GRADUATE PROGRAMMES?,Logo
2,Abasic SL (Desigual),Textil,"WE DRESS PEOPLE, NOT BODIES 
At the young age of 20 Thomas Meyer envisaged a future in which people dressed in a different way, in clothes that helped generate positive feelings, affordable to all. And out of this dream Desigual was first born in 1984. 
Ever since, Desigual has emanated positivism, commitment, tolerance, constant improvement, innovation and fun. 
Desigual is a global firm reaching out to people in 72 different countries with a crew of more than 80 nationalities. 
Our annual growth is over 50% and our clothes are featured in the best shop windows of Japan, UK, Hong Kong, Korea, Australia, Germany, France, Italy, Scandinavia...",www.desigual.com,"6 months full-time paid internships in any of our Departments (Marketing, Finance, HR, Supply Chain, Real Estate, etc.) in our HQ in Barcelona. It's valid for any period during the year.","Availability to arrange an agreement with the university. English and Spanish fluently. Other languages are an asset. Valuable experience in a similar position. Core Desigual competencies (positivism, commitment, constant improvement,respect, innovation, fun&profit).","Each position will have its own deadline. Apply directly in our website www.desigual.com ""work with us""",Summer Internships,Not availabe at this time.,"Permanent and temporary positions in any of our Departments (Marketing, Finance, HR, Supply Chain, Real Estate, etc.) in our HQ in Barcelona. It's valid for any period during the year. Specific requirements for each position.","Apply directly in our website www.desigual.com ""work with us"".",,,http://www.esade.edu/theesadecareerforum/universityprogrammes/img/gc_logos/o2014_h_528.gif
2,Accenture,Consultancy,"Accenture is a global management consulting, technology services and outsourcing company, with more than 293,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world’s most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments.  The company generated net revenues of US$28.6 billion for the fiscal year 2013.",Incorporate.accenture.com,"As part of our Internship program, Accent on You, you'll be provided with training opportunities, valuable experience in real client facing roles, professional development opportunities through mentoring as well as lots of fun networking opportunities. Interns at Accenture has first-hand exposure to the roles and responsibilities of an entry-level consultant and lets you get practical experience that will complete your training at the University and get a stronger resume for when you have to merge the labor market. We offer a five or six month Internship program, on a flexible morning or afternoon schedule agreed with you and your University and a competitive salary.","We look for people industrious, who can challenge conventional thought, offer unique perspectives and conceive and implement practical, value-adding solutions for our clients. We seek final year students with high level of English. We want to hire people who are excited by working at the cutting edge of business and government, and enjoy working collaboratively to drive outcomes for clients. ","Submit your resume/CV on-line through our job offers section in www.incorporate.accenture.com/ofertas (please indicate the event ID: FE-ESADE15). You can also bring your CV to our booth at the Career Fair, where we will be pleased to meet you. The selection process consists in aptitude tests, a group session and a HR interview. ",Summer Internships,"Today our clients stand at multiple intersections, and Accenture Strategy is ready to help them navigate the journey forward with unparalleled skills and experience in business strategy, technology strategy, and function strategy. 

In Accenture Strategy you will turn your theories into action. Devise and deliver solutions at the intersection of business and technology, and help some of the world’s most successful and influential organizations develop new ways of doing business. You’ll provide insight and advice for our clients’ keys issues and biggest strategic initiatives, shaping and executing their business transformation agendas. 

You’ll also help them navigate their key issues and biggest strategic initiatives, including: digital disruption, industry convergence, growth and innovation, global operating models, sustainable cost management, enterprise transformation and more. ","We look for people industrious, who can challenge conventional thought, offer unique perspectives and conceive and implement practical, value-adding solutions for our clients. High level of English is required. Candidates interested in joining Accenture Strategy should have foundational skills like having drive for impact and ability to influence and communicate delivering value; being a relationship builder; having problem solving skills and technology acumen; being a self developer and able to align and work in a team; and have resilience and ability to adapt and rebound from failure.","Submit your resume/CV on-line through our job offers section in www.incorporate.accenture.com/ofertas (please indicate the event ID: FE-ESADE15). The selection process consists in aptitude tests, a group session, HR interview, a case study and a final interview with a Managing Director. ",Direct entry opportunities,,http://www.esade.edu/theesadecareerforum/universityprogrammes/img/gc_logos/o2014_h_531.gif
2,Altadis - Imperial Tobacco,FMCG / Tobacco,"Altadis is market leader in Spain in all tobacco categories. Part of the Imperial Tobacco Group since 2008, Altadis is leader in the sector due to its versatile and unique brands Fortuna, Ducados Rubio, Nobel (cigarettes), Orígenes and Golden Virginia (fine cut tobacco) or Vegafina (cigars). Our company manufactures, markets, distributes and sells a comprehensive range of cigarettes, tobaccos, cigars, rolling papers and tubes in over 160 countries. ",www.altadis.es / www.imperial-tobacco.com  ,"Full time internships offered in all functional areas including premium, Canary and Portugal, taking responsibility in interesting projects. Duration: 6 months - flexible.","Talented, passionate, dynamic and flexible candidates, who want to make their marks and enjoy, with view to develop a high-profile career.",Send CV and motivation letter to graduate.programme@es.imptob.com before Nov 10th,Summer Internships,"Full time position in a 2-year rotational programme. The programme consists of 2 to 3 rotations through different departments (all functional areas including premium, Canary and Portugal).","Talented, passionate, dynamic and flexible candidates, who want to make their marks and enjoy, with view to develop a high-profile career.",Send CV and motivation letter to graduate.programme@es.imptob.com before Nov 10th,,Graduate Programmes,http://www.esade.edu/theesadecareerforum/universityprogrammes/img/gc_logos/o2014_h_530.gif
2,Arla Foods,Dairy,"Would you like to work in a big international company, where you can choose between an array of challanging career opportunities? Then Arla might be right for you. 

These years Arla is gaining a solid ground on the international marked with a very high growth rate. At Arla we are proud to have many students and graduates working with us. We like the energy and new ideas that students bring to our company, and we are happy to provide students the opportunity to explore theories in a real-life and practical context and at the same time give them a chance to build up their personal work.
",www.arla.com,"The exclusive international Summer Internship Programme provides a great opportunity to gain invaluable practical work experience during your summer break. The internship will give you insight into a particular project and career field, as well as the everyday life of an international company with great ambitions, providing challenging tasks and plenty of development opportunities. The Summer Internship Programme consists of 8-10 intensive weeks where you will be immersed in your personal project. As an Arla intern you will be challenged to take responsibility, managing your own project, while still being part of a team of competent and passionate employees. You will therefore get a unique chance to build a professional and international network, increasing your qualifications and adding an important element to your resume.","An ambitious explorer with leadership potential

Your personal character and aspiration are vital to Arla. You are an ambitious, confident and focused, yet curious and open-minded person, who is able to see things in a broader perspective. You learn fast and you are not afraid of asking questions. You strive to deliver great results independently but also enjoy the synergies of teamwork.",Application process is found on http://www.arla.com/job-and-career/vacancies/,Summer Internships,"F15 Graduate Programme

Arla Foods are welcoming talented, ambitious and global minded graduates to join our unique graduate programme. Convince us of your character and commitment and we will give you a unique opportunity to make your first career move in our global environment. During the Graduate Programme, you will find yourself in three jobs within different business groups and functional areas. Although you have a master’s degree within a specific field, we will challenge you to assume one position within a different field to make you gain a broad experience of Arla.

You will attend team trainings with your F15 colleagues. The training enhances your performance and people skills to boost your professional and personal development within business strategy, organisational understanding, project management and leadership competence. Read more on our blog www.futurefifteen.com.","To qualify for the F15 graduate programme you, as a general rule, need to have an upper-level master’s degree within e.g. business, finance, management or engineering but we keep an open mind towards other educational backgrounds as well. For UK nationals we also accept several bachelor degrees within Engineering, Business Studies, International Business Studies and Marketing.

Your grades reflect your success within your educational field, and fluency in English and international experiences from work or studies abroad are imperative criteria to join the programme. In addition, a student job with a certain amount of responsibility for tasks, training, teams or projects completes the ideal profile.",Application process is found on http://www.arla.com/job-and-career/students--graduates/f15-graduate-programme/apply-here/,,Graduate Programmes,http://www.esade.edu/theesadecareerforum/universityprogrammes/img/gc_logos/o2014_h_544.gif
2,BBVA ,Financial Sector,"BBVA is a customer-centric global retail financial group founded in 1857 that provides its customers around the world a full range of financial and non-financial products and services. BBVA enjoys a solid leadership position in the Spanish market is the largest financial institution in Mexico and has leading franchises in South America and the US Sunbelt. Additionally, it has a relevant banking presence in Turkey (through Garanti Bank), China (through CITIC) and operates an extensive branch network worldwide.",www.bbva.com,"Through our program ""Becas 3000"", we are recruiting candidates with different profiles to join our company for a six months period. This program is aimed at undergraduates, graduates and postgraduates.","The program ""Becas 3000"" is aimed at Bachelor's Degree students, Master's Degree students and postgraduates. We are looking for young people who may bring fresh air, enrich the projects where they have the opportunity to participate. People who are attracted to challenges, changes and the possibility of working on teams composed by very different professional profiles. If you have learning ability, motivation, social and communicative skills, adaptive capacity; you like team work and you involve yourself into the projects, BBVA is your place. ","The selection process will remain ongoing until 2016. If you are interested in our intership, contact with: becas@bbva.com or visit our careers page: www.invertimosparaelfuturo.es  ",Summer Internships,The job opportunities come up according to the needs of BBVA throughout the year., ,,Direct entry opportunities,,http://www.esade.edu/theesadecareerforum/universityprogrammes/img/gc_logos/o2014_h_539.gif
2,The Boston Consulting Group (BCG),Management Consulting,"The Boston Consulting Group (BCG) is a global management consulting firm and the world's leading advisor on business strategy. Founded in 1963, BCG is a private company with more than 80 offices in 45 countries—a purpose-driven firm with a mission and passion to be the partner of choice to transform business and society. Integrity, respect for the individual, delivering value, and making an impact on society are just some of our core values. Our commitment to both our clients' success and our own standards is what sets BCG apart as a world-class professional services organization.","www.bcg.es /
www.bcg.com","Want a sneak preview of what it means to be a consultant? Are you intrigued by the possibility of charting your own career path? Do you seek to move beyond mere theory to make a lasting difference? Do you consider team work an opportunity for personal growth? If so, we encourage you to apply for an internship at BCG, the world’s leading company in strategy consulting. Our interns work on real projects and are mentored by BCG consultants, getting the true feel of the BCG experience and the life of a consultant.","To expand our team, we look extraordinary talents that combine ability and curiosity, and who want to develop a career that offers unparalleled opportunities for professional and personal growth. We would like to junior   students, who want to participate in an 8 to 12 week summer intership program,  of all specialities, with a CV that shows initiative and willingness to learn, and want to join a team that faces specific problems of different nature by providing innovative solutions. Also it is possible to participate in an internship program during your course. The languages required are Spanish and English (Fluent or native level). ","We recommend applying between October and December, but admit applications throughout the year.",Summer Internships,"As a graduate with a bachelor’s degree, you’ll be joining BCG as an Associate. From the start, you’ll be working as a valued member of case teams, helping world-class companies address some of their most pressing strategic challenges and initiatives. You’ll gain exposure to a broad spectrum of industries and business concepts and practices, and your practical learning will help you make a quantum leap forward as you move from the classroom to the real world of business. Our associates have their own work and report to experienced managers. This approach provides junior team members with opportunities to work with BCG and client leaders and gives them unparalleled development experience.","To expand our team, we look extraordinary talents that combine ability and curiosity, and who want to develop a career that offers unparalleled opportunities for professional and personal growth. We would like to senior students, of all specialities, with a CV that shows initiative and willingness to learn, and want to join a team that faces specific problems of different nature by providing innovative solutions. The languages required are Spanish and English (Fluent or native level). ","We recommend applying between October and December, but admit applications throughout the year.",Direct entry opportunities,,
2,Citi,Banking & Finance,"Citi’s success is driven by its exceptional people – their passion, dedication and entrepreneurship – and it will be people just like you who will shape its future. At Citi, learning doesn’t stop at graduation and there are many ways to embark on a rewarding career path, enjoying the global opportunities and long-term training and development initiatives experienced by over 260,000 employees worldwide. ",www.oncampus.citi.com,"Citi offers internship opportunities in the following divisions: Investment Banking, Capital Markets Origination, Markets and Securities Services, Corporate Banking, Treasury and Trade Solutions, Securities and Fund Services, Private Banking, Human Resources, Operations, Technology, Investment Research and Risk Management. ","We are looking for bright, ambitious individuals who are interested in working for a global financial organisation. (Mimimum entry requirement - degree class 2:1). Fluency in English is a requirement. ","To find out more about our internship and full-time opportunities, visit www.oncampus.citi.com. Applications for our 2015 programmes will open on 1 September 2014.  We recruit on a rolling basis so early application is advised.",Summer Internships,"Citi offers full-time opportunities in the following divisions: Investment Banking, Capital Markets Origination, Markets and Securities Services, Corporate Banking, Treasury and Trade Solutions, Securities and Fund Services, Private Banking, Human Resources, Operations, Technology, Investment Research and Risk Management. ","We are looking for bright, ambitious individuals who are interested in working for a global financial organisation. (Mimimum entry requirement - degree class 2:1). Fluency in English is a requirement. ","To find out more about our internship and full-time opportunities, visit www.oncampus.citi.com. Applications for our 2015 programmes will open on 1 September 2014.  We recruit on a rolling basis so early application is advised.",Direct entry opportunities,,
2,Daimler AG,Automotive Industry,"Daimler AG is one of the world’s most successful automotive companies. With its divisions Mercedes-Benz Cars, Daimler Trucks, Mercedes-Benz Vans, Daimler Buses and Daimler Financial Services, the Daimler Group is one of the biggest producers of premium cars and the world’s biggest manufacturer of commercial vehicles with a global reach. Daimler Financial Services provides financing, leasing, fleet management, insurance and innovative mobility services. ","www.daimler.com  
www.career.daimler.com","CAReer' group-wide trainee program with accompanying HR development activities:
· Direct entry with an individual information and induction program
· Dissertations under the guidance of a personal mentor
· Internships in Germany and abroad
· Daimler Student Partnership (dsp) sponsorship program
· Term papers and final Dissertations under the guidance of a personal mentor
· Temporary employment for students/vacation jobs","It is an applicant's overall profile that will ultimately decide their suitability for an entry-level position, i.e. in addition to social skills and the technical or professional qualifications required for the position, we seek enthusiasm for our company and a shared passion for the automotive industry. We are looking for authenticity! ","Apply online via ESADE Career Portal. Please attach all of your application documents comprising cover letter, CV, references, etc.",Summer Internships,,,,,,
2,Deloitte,Professional Services,"Deloitte is a member of the international organization Deloitte Touche Tohmatsu, which has more than 165,000 professionals in 140 countries around the world.
Extensive and proven experience in the world of business consulting, audit, 
tax financial advisory in corporate transactions and entities operating in a high number of sectors. ",www.estufuturo.es,We are looking for Master Students (with or without experience) and Bachelor students within the last year of their business studies (double degree Business/LAW is a plus) with very good university results and a high level of English.,"The perfect candidate is willing to grow on a personal and professional level, likes to work in teams, is a fast learner with a high motivation and energy level, easily adapts to new situations, has a senior appearance and is responsible. ",Please apply via www.estufuturo.es,Summer Internships,We are looking for Master Students (with or without experience) and Bachelor students within the last year of their business studies (double degree Business/LAW is a plus) with very good university results and a high level of English. ,"The perfect candidate is willing to grow on a personal and professional level, likes to work in teams, is a fast learner with a high motivation and energy level, easily adapts to new situations, has a senior appearance and is responsible. ",Please apply via www.estufuturo.es,Direct entry opportunities,,
2,Delta Partners,Management Consulting / Corporate Finance,"Delta Partners is the leading Advisory and Investment firm specialised in Telecoms, Media and Digital with offices in the Middle East, Africa, Europe, Asia and Latin America. We partner with global and regional telecom providers, digital players and other TMD clients to help them address their most challenging strategic issues. 

Our unique combination of Management Advisory, Corporate Finance and Investment Services creates unparalleled value for our clients, investors and business partners. ", www.deltapartnersgroup.com,"From January 2015 we will be actively recruiting pen-ultimate year ESADE students to join us as Analyst Interns in our Management Consulting and Corporate Finance divisions. Both internships will take place during the 2015 summer vacation and will last around 8 weeks. We offer analyst internships in all our offices and we will consider students for the different offices based on their availability and the project opportunities we have available. All interns joining our Corporate Finance division would be based in our Dubai office with our Corporate Finance team. To learn more about the role of an Analyst Intern, please refer to our website http://www.deltapartnersgroup.com/careers ","• Currently majoring in Business Administration, Computer Science, Economics, Engineering, Finance, Management or Strategy
• Fluency in English (written and spoken)
• Additional language skills are an advantage
• Proficient in Microsoft Office Applications: Outlook, Excel, Word and PowerPoint 
• Basic knowledge and interest in the Telecommunications, Media and Digital (TMD) industry","All applications must be submitted through our online career portal, which can be accessed via our website. In order to apply please submit your CV and Cover Letter in English. We will begin advertising internship opportunities in both Management Consulting and Corporate Finance in January 2015.",Summer Internships,"We are currently interested in recruiting final year students for full time Analyst positions in our Management Consulting division starting in 2015.  

Based within our Management Consulting business line, Analysts work with senior consultants on client engagements or investment assignments to perform industry analysis and make suitable recommendations. Analysts manage project data gathering from client and external sources; perform complex analysis with the support of senior consultants; build business models; conduct market research and summarise findings and conclusions; participate in team and client discussions; prepare benchmarking studies; and design and create PowerPoint slides for clients or for internal discussion.","• Bachelors or Master’s degree in Business Administration, Computer Science, Economics, Engineering, Finance, Management or Strategy
• Fluency in English (written and spoken), for positions in our Bogota office fluency in Spanish (written and spoken) is a prerequisite
• Additional language skills are an advantage
• Relevant experience as an Intern with similar responsibilities
• Previous experience in a professional services environment, ideally in a multinational company with international exposure
• Proficient in Microsoft Office Applications: Outlook, Excel, Word and PowerPoint 
• Basic knowledge and interest in the Telecommunications, Media and Digital Industry (TMD)","All applications must be submitted through our online career portal, which can be accessed via our website. In order to apply please submit your CV and Cover Letter, in English, to 'ESADE Analyst - Management Consulting'.  Please include in your cover letter all the offices which you would like to be considered for, however do also specify if you have a preference for one location. We will open applications on Wednesday 1st October 2014 and the deadline for submitting your application will be Friday 7th November 2014.",Direct entry opportunities,,
